Título Original,Duración,Género,Sinopsis
The Hateful Eight,167,"Western, Intriga","Pocos años después de la Guerra de Secesión, una diligencia avanza por el invernal paisaje de Wyoming. Los pasajeros, el cazarrecompensas John Ruth (Kurt Russell) y su fugitiva Daisy Domergue (Jennifer Jason Leigh), intentan llegar al pueblo de Red Rock, donde Ruth entregará a Domergue a la justicia. Por el camino, se encuentran con dos desconocidos: el mayor Marquis Warren (Samuel L. Jackson), un antiguo soldado de la Unión convertido en cazarrecompensas de mala reputación, y Chris Mannix (Walton Goggins), un renegado sureño que afirma ser el nuevo sheriff del pueblo. Como se aproxima una ventisca, los cuatro se refugian en la Mercería de Minnie, una parada para diligencias de un puerto de montaña. Cuando llegan al local se topan con cuatro rostros desconocidos: el mexicano Bob (Demian Bichir), Oswaldo Mobray (Tim Roth), verdugo de Red Rock, el vaquero Joe Gage (Michael Madsen) y el general confederado Sanford Smithers (Bruce Dern). Mientras la tormenta cae sobre la parada de montaña, los ocho viajeros descubren que tal vez no lleguen hasta Red Rock después de todo. (FILMAFFINITY)"
La trinchera infinita,147,Drama,"Higinio y Rosa llevan pocos meses casados cuando estalla la Guerra Civil, y la vida de él pasa a estar seriamente amenazada. Con ayuda de su mujer, decidirá utilizar un agujero cavado en su propia casa como escondite provisional. El miedo a las posibles represalias, así como el amor que sienten el uno por el otro, les condenará a un encierro que se prolongará durante más de 30 años."
El Reino,131,"Thriller, Intriga, Drama","Manuel (Antonio de la Torre), un influyente vicesecretario autonómico que lo tiene todo a favor para dar el salto a la política nacional, observa cómo su perfecta vida se desmorona a partir de unas filtraciones que le implican en una trama de corrupción junto a Paco, uno de sus mejores amigos. Mientras los medios de comunicación empiezan a hacerse eco de las dimensiones del escándalo, el partido cierra filas y únicamente Paco sale indemne. Manuel es expulsado, señalado por la opinión pública y traicionado por los que hasta hace unas horas eran sus amigos. Aunque el partido pretende que cargue con toda la responsabilidad, Manuel no se resigna a caer solo. Con el único apoyo de su mujer y de su hija, y atrapado en una espiral de supervivencia, Manuel se verá obligado a luchar contra una maquinaria de corrupción que lleva años engrasada, y contra un sistema de partidos en el que los reyes caen, pero los reinos continúan. (FILMAFFINITY)"
Kono Sekai no Katasumi ni,129,"Animación, Drama","La historia narra la vida de una familia residente en la ciudad de Kure (Hiroshima) durante la II Guerra Mundial. Allí conocemos a Suzu Urano, una joven esposa que se muda a la ciudad de Kure desde un pequeño pueblo pesquero tras casarse con Shusaku Hojo, un oficial de la marina que le propone matrimonio y al que conoce desde que eran niños. Suzu perservará con gran determinación y valor a través de esa dura época del país. (FILMAFFINITY)"
Lion,120,Drama,"Narra la historia real de cómo el pequeño Saroo Brierley, con tan sólo cinco años, se montó solo en un tren para, dos días después, perderse en las calles de Calcuta, a miles de kilómetros de casa. Tras un largo periplo acabó siendo adoptado por una pareja australiana. Veinticinco años después, con la única ayuda de Google Earth, Saroo intentará encontrar a su familia biológica... (FILMAFFINITY)"
Before Midnight,104,"Romance, Drama","La tercera parte de la trilogía se desarrolla en Grecia. Nueve años después de su segundo encuentro romántico, el destino vuelve a unir las vidas de Celine (Julie Delpy) y Jesse (Ethan Hawke). (FILMAFFINITY)"
Call Me by Your Name,130,"Romance, Drama","Elio Perlman (Timothée Chalamet), un joven de 17 años, pasa el cálido y soleado verano de 1983 en la casa de campo de sus padres en el norte de Italia. Se pasa el tiempo holgazaneando, escuchando música, leyendo libros y nadando hasta que un día el nuevo ayudante americano de su padre llega a la gran villa. Oliver (Armie Hammer) es encantador y, como Elio, tiene raíces judías; también es joven, seguro de sí mismo y atractivo. Al principio Elio se muestra algo frío y distante hacia el joven, pero pronto ambos empiezan a salir juntos de excursión y, conforme el verano avanza, la atracción mutua de la pareja se hace más intensa. (FILMAFFINITY)"
Nightcrawler,113,Thriller,"Tras ser testigo de un accidente, Lou Bloom (Jake Gyllenhaal), un apasionado joven que no consigue encontrar empleo, descubre como forma de ganar dinero el mundo del periodismo criminalista en la peligrosa ciudad de Los Ángeles. Su trabajo es llegar al escenario de crímenes o accidentes y fotografiar lo sucedido para venderlos al mejor postor. (FILMAFFINITY)"
Jusqu'à la garde,93,Drama,"Myriam y Antoine Besson se han divorciado, y ella solicita la custodia exclusiva de su hijo Julien para protegerlo de un padre al que acusa de violento. Antoine defiende su caso como un padre despreciado, y la juez del caso sentencia a favor de la custodia compartida. Rehén del creciente conflicto entre sus padres, el joven Julien se ve empujado al límite. (FILMAFFINITY)"
Pride,120,"Comedia, Drama","En el verano de 1984, siendo primera ministra Margaret Thatcher, el Sindicato Nacional de Mineros (NUM) convoca una huelga. Durante la manifestación del Orgullo Gay en Londres, un grupo de lesbianas y gays se dedica a recaudar fondos para ayudar a las familias de los trabajadores, pero el sindicato no acepta el dinero. El grupo decide entonces ponerse en contacto directo con los mineros y van a un pueblecito de Gales. Empieza así la curiosa historia de dos comunidades totalmente diferentes que se unen por una causa común. (FILMAFFINITY)"
Boyhood,159,Drama,"Historia dramática que recorre 12 años (2002-2013) de la vida de Mason (Ellar Coltrane) de los seis a los dieciocho. Durante este periodo, se producen todo tipo de cambios, mudanzas y controversias, relaciones que se tambalean, bodas, diferentes colegios, primeros amores, desilusiones y momentos maravillosos. Un viaje íntimo y basado en la euforia de la niñez, los sísmicos cambios de una familia moderna y el paso del tiempo. (FILMAFFINITY)"
Bohemian Rhapsody,134,Drama,"'Bohemian Rhapsody' es una celebración del grupo Queen, de su música y de su singular cantante Freddie Mercury, que desafió estereotipos para convertirse en uno de los showmans más queridos del mundo. El film plasma el meteórico ascenso de la banda al olimpo de la música a través de sus icónicas canciones y su revolucionario sonido, su crisis cuando el estilo de vida de Mercury estuvo fuera de control, y su triunfal reunión en la víspera del Live Aid, en la que Mercury, mientras sufría una enfermedad que amenazaba su vida, lidera a la banda en uno de los conciertos de rock más grandes de la historia. Refleja asimismo cómo se cimentó el legado de una banda que siempre se pareció más a una familia, y que continúa inspirando soñadores y amantes de la música hasta nuestros días. (FILMAFFINITY)"
The Revenant,156,"Aventuras, Western","Año 1823. En las profundidades de la América salvaje, el explorador Hugh Glass (Leonardo DiCaprio) participa junto a su hijo mestizo Hawk en una expedición de tramperos que recolecta pieles. Glass resulta gravemente herido por el ataque de un oso y es abandonado a su suerte por un traicionero miembro de su equipo, John Fitzgerald (Tom Hardy). Con la fuerza de voluntad como su única arma, Glass deberá enfrentarse a un territorio hostil, a un invierno brutal y a la guerra constante entre las tribus de nativos americanos, en una búsqueda implacable para conseguir vengarse. (FILMAFFINITY)"
The Grand Budapest Hotel,99,"Comedia, Aventuras","Gustave H. (Ralph Fiennes), un legendario conserje de un famoso hotel europeo de entreguerras, entabla amistad con Zero Moustafa (Tony Revolori), un joven empleado al que convierte en su protegido. La historia trata sobre el robo y la recuperación de una pintura renacentista de valor incalculable y sobre la batalla que enfrenta a los miembros de una familia por una inmensa fortuna. Como telón de fondo, los levantamientos que transformaron Europa durante la primera mitad del siglo XX. (FILMAFFINITY)"
Josep,71,"Animación, Drama","Febrero, 1939. Abrumado por la oleada de republicanos que huyen de la dictadura de Franco, el gobierno francés opta por confinar a los españoles en campos de concentración. En uno de aquellos campos, dos hombres, separado por un alambre de púas, traban una amistad. Uno de ellos es Josep Bartoli, un dibujante que lucha contra el régimen de Franco. (FILMAFFINITY)"
Le Sommet des Dieux,90,"Animación, Drama, Aventuras, Intriga","Fukamachi, un intrépido fotógrafo, descubre en Katmandú, Nepal, una cámara que posiblemente perteneció a George Mallory, un montañero perdido en su escalada al Everest. Tras conocer a Habu Joji, un renombrado escalador, los dos se embarcan para desenterrar esta pieza perdida de la historia."
20.000 especies de abejas,129,Drama,"Cocó, de ocho años, no encaja en las expectativas del resto y no entiende por qué. Todos a su alrededor insisten en llamarle Aitor pero no se reconoce en ese nombre ni en la mirada de los demás. Su madre Ane, (Patricia López Arnaiz), sumida en una crisis profesional y sentimental, aprovechará las vacaciones para viajar con sus tres hijos a la casa materna, donde reside su madre Lita (Itziar Lazkano) y su tía Lourdes (Ane Gabarain), estrechamente ligada a la cría de abejas y la producción de miel. Este verano que cambiará sus vidas obligará a estas mujeres de tres generaciones muy distintas a enfrentarse a sus dudas y temores. (FILMAFFINITY)"
Boże Ciało,116,Drama,"Narra la historia de Daniel, de 20 años de edad, quien experimenta una transformación espiritual mientras vive en un Centro de Detención Juvenil. Quiere ser sacerdote, pero esto es imposible debido a sus antecedentes penales. Cuando es enviado a trabajar a un taller de carpintería en una pequeña localidad, a su llegada se hace pasar por sacerdote y se hace cargo accidentalmente de la parroquia local. La llegada del joven y carismático predicador es una oportunidad para que la comunidad local comience el proceso de sanación tras una tragedia ocurrida en esa pequeña población."
"Soshite chichi ni naru (Like Father, Like Son)",120,Drama,"Ryoata, un arquitecto obsesionado por el éxito profesional, vive felizmente con su esposa y su hijo de seis años; pero su mundo se viene abajo cuando los responsables del hospital donde nació su hijo le comunican que, debido a una confusión, el niño fue cambiado por otro.  (FILMAFFINITY)"
The Irishman,209,"Thriller, Drama","Frank Sheeran fue un veterano de la Segunda Guerra Mundial, estafador y sicario que trabajó con algunas de las figuras más destacadas del siglo XX. 'El irlandés' es la crónica de uno de los grandes misterios sin resolver del país: la desaparición del legendario sindicalista Jimmy Hoffa. Un gran viaje por los turbios entresijos del crimen organizado; sus mecanismos internos, sus rivalidades y su conexión con la política. Adaptación del libro ""I Heard You Paint Houses"", de Charles Brandt, a cargo del guionista Steven Zaillian (La lista de Schindler, American Gangster)."
Berserk Ôgon Jidai-Hen III: Kôrin (Berserk Golden Age Arc 3: Descent / The Advent),110,"Animación, Aventuras, Acción","Ha pasado un año desde que Guts se separó de Griffith. La Banda de los Halcones está planeando una misión de rescate para salvar a Griffith, que está confinado en la cárcel. Tercera película de la saga de ""Berserk. La Edad de Oro"", que adapta el manga creado por Kentarou Miura. (FILMAFFINITY)"
Marriage Story,136,Drama,"Charlie, un director de teatro neoyorquino y su mujer actriz, Nicole, luchan por superar un proceso de divorcio que les lleva al extremo tanto en lo personal como en lo creativo. (FILMAFFINITY)"
