Título,Título Original,Año,Duración,Género,País,Puntuación Media,Número de Puntuaciones,Director,Reparto,Sinopsis,Enlace
La vida de Adèle,La vie d'Adèle - Chapitre 1 & 2 (Blue Is the Warmest Color),2013,180,"Romance, Drama",Francia,"7,4",39.403,Abdellatif Kechiche,"Adèle Exarchopoulos, Léa Seydoux, Salim Kechiouche, Mona Walravens, Jeremie Laheurte, Alma Jodorowsky, Aurélien Recoing, Catherine Salée","Adèle (Adèle Exarchopoulos) tiene quince años y sabe que lo normal es salir con chicos, pero tiene dudas sobre su sexualidad. Una noche conoce y se enamora inesperadamente de Emma (Léa Seydoux), una joven con el pelo azul. La atracción que despierta en ella una mujer que le muestra el camino del deseo y la madurez, hará que Adèle tenga que sufrir los juicios y prejuicios de familiares y amigos. Adaptación de la novela gráfica ""Blue"", de Julie Maroh. (FILMAFFINITY)",https://www.filmaffinity.com/es/film361182.html
1985,1985,2018,85,Drama,Estados Unidos,"7,4",1.484,Yen Tan,"Cory Michael Smith, Jamie Chung, Virginia Madsen, Michael Chiklis, Bill Heck, Ryan Piers Williams, David Opegbemi, Bryan Massey","Un joven homosexual veinteañero de Texas que todavía no ha salido del armario, Adrian (Cory Michael Smith), regresa a casa por vacaciones de Navidad por primera vez en varios años. Allí se dará cuenta de que le cuesta mucho revelar sus circunstancias a su conservadora familia... Inspirada en el corto homónimo del propio director. (FILMAFFINITY)",https://www.filmaffinity.com/es/film478099.html
Loving Vincent,Loving Vincent,2017,95,"Animación, Drama",Polonia,"7,4",9.345,"DK Welchman, Hugh Welchman","Douglas Booth, Helen McCrory, Saoirse Ronan, Aidan Turner, Eleanor Tomlinson, Chris O'Dowd, Jerome Flynn","Año 1891. Un año después de la muerte de Vincent van Gogh, el cartero Roulin le pide a su hijo Armand que entregue personalmente la última carta de Van Gogh a su hermano, Theo, después de que sus intentos previos de enviársela hubieran fallado. A pesar de no haber apreciado a Van Gogh y recordar el incidente cuando el fallecido se mutiló su oreja y se la dio a una prostituta, Armand acepta con disgusto debido al afecto de su padre por el pintor...",https://www.filmaffinity.com/es/film302768.html
"Argentina, 1985","Argentina, 1985",2022,140,"Thriller, Drama",Argentina,"7,4",17.163,Santiago Mitre,"Ricardo Darín, Peter Lanzani, Alejandra Flechner, Carlos Portaluppi, Norman Briski, Héctor Díaz, Alejo García Pintos, Claudio Da Passano","Inspirada en la historia real del fiscal Julio Strassera, Luis Moreno Ocampo y su joven equipo jurídico que se atrevieron a acusar, contra viento y marea, a contrarreloj y bajo constante amenaza, a los altos mandos de la sangrienta dictadura militar argentina (1976-1983) en el llamado Juicio a las Juntas de mediados de los años 80. Una batalla de David contra Goliat, con los héroes menos esperados. (FILMAFFINITY)",https://www.filmaffinity.com/es/film117089.html
Soul,Soul,2020,100,"Animación, Fantástico, Drama, Comedia",Estados Unidos,"7,4",32.338,"Pete Docter, Kemp Powers","Jamie Foxx, Tina Fey","¿Alguna vez te has preguntado de dónde provienen tu pasión, tus sueños y tus intereses? ¿Qué es lo que te hace ser... tú? Pixar te lleva en un viaje desde las calles de Nueva York a los reinos cósmicos para descubrir las respuestas a las preguntas más importantes de la vida.",https://www.filmaffinity.com/es/film420392.html
Las ocho montañas,Le otto montagne,2022,147,Drama,Italia,"7,4",3.344,"Felix Van Groeningen, Charlotte Vandermeersch","Luca Marinelli, Alessandro Borghi, Filippo Timi, Elena Lietti, Surakshya Panta, Elisabetta Mazzullo, Lupo Barbiero, Cristiano Sassella","Pietro es un chico de ciudad, Bruno es el último niño de una localidad de montaña olvidada. Con el paso de los años, Bruno se mantiene fiel a su montaña, mientras que Pietro viene y va. Sus experiencias le harán enfrentarse al amor y a la pérdida, recordándoles sus orígenes y abriendo paso al destino. (FILMAFFINITY)",https://www.filmaffinity.com/es/film427211.html
Evangelion: 3.0+1.01 Thrice Upon a Time,Shin Evangerion Gekijoban,2021,154,"Animación, Ciencia ficción, Acción, Drama",Japón,"7,4",2.134,"Hideaki Anno, Kazuya Tsurumaki, Masayuki",,"Cuarto y último volumen de La Reconstrucción de Evangelion. Misato y su grupo anti-NERV, Wille, llegan a una París roja por la nucleización. La tripulación de la nave Wunder aterriza en una torre de contención con solo 720 segundos para reestablecer la ciudad. Cuando una horda de Evas NERV aparece, la mejorada Unidad Eva 8 debe interceptarlos. Mientras, Shinji, Asuka y Rei merodean por Japón. (FILMAFFINITY)",https://www.filmaffinity.com/es/film517029.html
"Quo Vadis, Aida?","Quo Vadis, Aida?",2020,104,"Drama, Bélico",Bosnia y Herzegovina,"7,4",4.252,Jasmila Zbanic,"Jasna Djuricic, Izudin Bajrovic, Boris Ler, Dino Bajrovic, Boris Isakovic, Johan Heldenbergh, Raymond Thiry, Emir Hadzihafizbegovic","Bosnia, julio de 1995. Aida trabaja como traductora para la ONU en la pequeña ciudad de Srebrenica. Cuando el ejército serbio ocupa el pueblo, su familia está entre los miles de personas que buscan refugio en los campos de la ONU. Como participa en las negociaciones, Aida tiene acceso a información importante. (FILMAFFINITY)",https://www.filmaffinity.com/es/film130859.html
El pan de la guerra (The Breadwinner),The Breadwinner,2017,93,"Animación, Drama",Irlanda,"7,4",5.055,Nora Twomey,,"Parvana es una chica de once años que vive en la capital de Afganistán, Kabul, durante el periodo de dominio de los talibanes. Al ser su padre detenido, los miembros de la familia se quedan sin recursos y, debido a que las mujeres tienen prohibido ganar dinero, deciden transformar a Parvana en un chico para poder trabajar. (FILMAFFINITY)",https://www.filmaffinity.com/es/film849663.html
La llegada,Arrival,2016,116,"Ciencia ficción, Drama",Estados Unidos,"7,4",66.507,Denis Villeneuve,"Amy Adams, Jeremy Renner, Forest Whitaker, Michael Stuhlbarg, Mark O'Brien, Nathaly Thibault, Pat Kiely, Joe Cobden","Cuando naves extraterrestres comienzan a llegar a la Tierra, los altos mandos militares piden ayuda a una experta lingüista (Amy Adams) para intentar averiguar si los alienígenas vienen en son de paz o suponen una amenaza. Poco a poco la mujer intentará aprender a comunicarse con los extraños invasores, poseedores de un lenguaje propio, para dar con la verdadera y misteriosa razón de la visita extraterrestre... Adaptación del relato corto ""The Story of Your Life"" del escritor Ted Chiang, ganador de los reconocidos premios de ciencia ficción Hugo y Nebula. (FILMAFFINITY)",https://www.filmaffinity.com/es/film420650.html
Sueño de invierno (Winter Sleep),Kis Uykusu (Sommeil d'hiver),2014,196,Drama,Turquía,"7,3",4.419,Nuri Bilge Ceylan,"Haluk Bilginer, Melisa Sözen, Demet Akbag, Mehmet Ali Nuroglu, Nadir Saribacak, Ayberk Pekcan, Nejat Isler, Serhat Mustafa Kiliç","Aydin, un actor jubilado, dirige un hotelito en Anatolia central con la ayuda de su joven esposa, de la que está muy distanciado, y de su hermana, una mujer triste porque se acaba de divorciar. En invierno, a medida que la nieve va cubriendo la estepa, el hotel se convierte en su refugio y en el escenario de su aflicción. (FILMAFFINITY)",https://www.filmaffinity.com/es/film540382.html
Guardianes de la noche: Tren infinito,Kimetsu no Yaiba: Mugen Ressha-Hen,2020,117,"Animación, Aventuras, Fantástico, Acción, Thriller, Drama",Japón,"7,3",3.075,Haruo Sotozaki,,"Tanjiro Kamado y sus amigos del Demon Slayer Corps acompañan a Kyōjurō Rengoku, el Flame Hashira, para investigar una misteriosa serie de desapariciones que ocurren dentro de un tren aparentemente infinitamente largo. Poco saben que Enmu, la última de las Lunas Inferiores de los Doce Kizuki, también está a bordo y les ha preparado una trampa.",https://www.filmaffinity.com/es/film164016.html
12 años de esclavitud,12 Years a Slave (Twelve Years a Slave),2013,133,Drama,Estados Unidos,"7,3",63.910,Steve McQueen,"Chiwetel Ejiofor, Michael Fassbender, Lupita Nyong'o, Paul Dano, Paul Giamatti, Benedict Cumberbatch, Sarah Paulson, Brad Pitt","Basada en un hecho real ocurrido en 1850, narra la historia de Solomon Northup, un culto músico negro que vivía con su familia en Nueva York. Tras tomar una copa con dos hombres, Solomon descubre que ha sido drogado y secuestrado para ser vendido como esclavo en una plantación de Louisiana. Solomon contempla cómo todos a su alrededor sucumben a la violencia y a la desesperación. Pero él decide no rendirse y esperar a que llegue el momento oportuno para recuperar la libertad y volver con su familia. (FILMAFFINITY)",https://www.filmaffinity.com/es/film554692.html
El chico y la garza,Kimitachi wa dô ikiru ka,2023,124,"Animación, Drama, Fantástico",Japón,"7,3",1.767,Hayao Miyazaki,,La película muestra el crecimiento psicológico de un adolescente a través de interacciones con sus amigos y su tío. Está basada en el libro de 1937 del mismo nombre escrito por Genzaburo Yoshino. (FILMAFFINITY),https://www.filmaffinity.com/es/film489419.html
The Quiet Girl,An Cailín Ciúin,2022,95,Drama,Irlanda,"7,3",4.535,Colm Bairéad,"Catherine Clinch, Carrie Crowley, Andrew Bennett, Michael Patric, Kate Nic Chonaonaigh, Carolyn Bracken, Joan Sheehy, Tara Faughnan","La Irlanda rural, 1981. Cáit es una reservada niña de nueve años que está desatendida por parte de su pobre, disfuncional y demasiado numerosa familia. Se enfrenta en silencio con dificultades en la escuela y en casa, y ha aprendido a pasar desapercibida para cuantos la rodean. Cuando llega el verano y se acerca la fecha del parto de su madre, Cáit es enviada a vivir con unos parientes lejanos. Sin saber cuándo volverá a casa, se queda en el hogar de unos desconocidos sin más pertenencias que la ropa que lleva puesta. Poco a poco, y gracias a los cuidados de la familia Kinsella, Cáit realiza notables progresos y descubre una nueva forma de vivir. Pero en esta casa donde reina el afecto y no parece haber secretos, ella descubre una dolorosa verdad. (FILMAFFINITY)",https://www.filmaffinity.com/es/film786159.html
La vida de Calabacín,Ma Vie De Courgette,2016,66,"Animación, Drama, Comedia",Suiza,"7,3",6.309,Claude Barras,,"Calabacín es un niño valiente que después de perder a su madre tiene que ingresar en un hogar de acogida, con otros niños huérfanos de su edad. En un primer momento se esfuerza por encontrar su lugar en este nuevo medio hostil. Sin embargo, con la ayuda de sus nuevos amigos, Calabacín aprende a confiar, encuentra el verdadero amor y una nueva familia. (FILMAFFINITY)",https://www.filmaffinity.com/es/film800641.html
Los asesinos de la luna,Killers of the Flower Moon,2023,206,"Thriller, Western, Drama",Estados Unidos,"7,3",6.968,Martin Scorsese,"Leonardo DiCaprio, Robert De Niro, Lily Gladstone, Jesse Plemons, Pat Healy, Louis Cancelmi, Brendan Fraser, John Lithgow","Ambientada en la Oklahoma de la década de 1920, narra los asesinatos en serie de los miembros de la nación indígena Osage, que era muy rica en petróleo; una serie de crímenes brutales que más tarde se conocería como el ""Reinado del Terror"".",https://www.filmaffinity.com/es/film970587.html
Vengadores: Endgame,Avengers: Endgame,2019,181,"Ciencia ficción, Fantástico, Acción",Estados Unidos,"7,3",39.367,"Anthony Russo, Joe Russo","Robert Downey Jr., Chris Evans, Mark Ruffalo, Chris Hemsworth, Scarlett Johansson, Jeremy Renner, Don Cheadle, Paul Rudd","Después de los eventos devastadores de 'Avengers: Infinity War', el universo está en ruinas debido a las acciones de Thanos, el Titán Loco. Con la ayuda de los aliados que quedaron, los Vengadores deberán reunirse una vez más para intentar deshacer sus acciones y restaurar el orden en el universo de una vez por todas, sin importar cuáles son las consecuencias... Cuarta y última entrega de la saga ""Vengadores"". (FILMAFFINITY)",https://www.filmaffinity.com/es/film993884.html
El abrazo de la serpiente,El abrazo de la serpiente,2015,125,"Aventuras, Drama",Colombia,"7,3",6.062,Ciro Guerra,"Nilbio Torres, Antonio Bolívar, Jan Bijvoet, Brionne Davis, Yauenkü Migue, Luigi Sciamanna, Nicolás Cancino","Karamakate fue en su día un poderoso chamán del Amazonas; es el último superviviente de su pueblo y vive en lo más profundo de la selva. Lleva años en total soledad, que lo han convertido en ""chullachaqui"", una cáscara vacía de hombre, privado de emociones y recuerdos. Pero su solitaria vida da un vuelco el día en que a su remota guarida llega Evan, un etnobotánico norteamericano en busca de la yakruna, una poderosa planta oculta, capaz de enseñar a soñar. Karamakate accede a acompañar a Evan en su búsqueda y juntos emprenden un viaje al corazón de la selva en el que el pasado, presente y futuro se confunden, y en el que el chamán irá recuperando sus recuerdos perdidos. (FILMAFFINITY)",https://www.filmaffinity.com/es/film917148.html
Isla de perros,Isle of Dogs,2018,101,"Animación, Fantástico, Comedia, Aventuras",Estados Unidos,"7,3",19.800,Wes Anderson,"Bryan Cranston, Edward Norton, Bill Murray, Jeff Goldblum, Koyu Rankin, Liev Schreiber, Bob Balaban","Después de que todas las mascotas caninas de Megasaki City sean exiliadas a una isla que es un vertedero, un niño de 12 años emprende un viaje para buscar a su perro extraviado. (FILMAFFINITY)",https://www.filmaffinity.com/es/film763335.html
Perdida,Gone Girl,2014,149,"Intriga, Thriller",Estados Unidos,"7,3",67.350,David Fincher,"Ben Affleck, Rosamund Pike, Neil Patrick Harris, Tyler Perry, Kim Dickens, Patrick Fugit, Carrie Coon, Missi Pyle","El día de su quinto aniversario de boda, Nick Dunne (Ben Affleck) informa que su esposa Amy (Rosamund Pike) ha desaparecido misteriosamente. Pero pronto la presión policial y mediática hace que el retrato de felicidad doméstica que ofrece Nick empiece a tambalearse. Además, su extraña conducta lo convierte en sospechoso, y todo el mundo comienza a preguntase si Nick mató a su esposa... Adaptación del best-seller ""Perdida"", de Gillian Flynn. (FILMAFFINITY)",https://www.filmaffinity.com/es/film478104.html
Omar,Omar,2013,98,"Drama, Thriller, Romance",Palestina,"7,3",2.995,Hany Abu-Assad,"Adam Bakri, Leem Lubany, Eyad Hourani, Samer Bisharat, Waleed Zuaiter","Omar es un joven palestino que está acostumbrado a esquivar las balas de las tropas que vigilan el muro de los territorios ocupados para visitar a Nadia, su amor secreto. Pero cuando un día es capturado tras una acción de resistencia, empieza un letal juego del gato y el ratón con la policía militar. Las sospechas y la traición hacen peligrar la relación con sus dos amigos de la infancia, Amjad y Tarek, el hermano de Nadia. Los sentimientos de Omar acaban tan divididos como Palestina, aunque todas sus acciones estén guiadas por su amor a Nadia. (FILMAFFINITY)",https://www.filmaffinity.com/es/film791836.html
Un día más con vida,Another Day of Life,2018,85,"Animación, Drama",España,"7,3",4.281,"Raúl de la Fuente, Damian Nenow","Miroslaw Haniszewski, Vergil J. Smith, Tomasz Zietek, Olga Boladz, Rafal Fudalej, Pawel Paczesny, Jakub Kamienski","Relato autobiográfico de Ryszard Kapuściński, que narra los últimos días de Angola como colonia portuguesa en 1975, y las terribles consecuencias de esta descolonización: una guerra civil que asoló la región hasta hace muy poco. Coproducción polaco-española, en formato de docudrama de animación para adultos. (FILMAFFINITY)",https://www.filmaffinity.com/es/film588749.html
